id,title,caption,alt
131,Coast Redwoods,"Muir Woods National Monument, CA; Fall 2016",Coast Redwoods
132,Coast Redwoods,"Muir Woods National Monument, CA; Fall 2016",Coast Redwoods
133,Coast Redwoods,"Muir Woods National Monument, CA; Fall 2016",Coast Redwoods
134,Yosemite Tunnel View,"Yosemite National Park, CA; Fall 2016",Yosemite Tunnel View
135,Lower Yosemite Falls,"Yosemite National Park, CA; Fall 2016",Lower Yosemite Falls
136,Lower Yosemite Falls,"Yosemite National Park, CA; Fall 2016",Lower Yosemite Falls
137,Yosemite Falls,"Yosemite National Park, CA; Fall 2016",Yosemite Falls
138,Lower Yosemite Falls,"Yosemite National Park, CA; Fall 2016",Lower Yosemite Falls
139,Lower Yosemite Falls,"Yosemite National Park, CA; Fall 2016",Lower Yosemite Falls
140,Bridalveil Falls,"Yosemite National Park, CA; Fall 2016",Bridalveil Falls
141,Bridalveil Falls,"Yosemite National Park, CA; Fall 2016",Bridalveil Falls
142,El Capitan,"Yosemite National Park, CA; Fall 2016",El Capitan
143,Yosemite National Park,"Yosemite National Park, CA; Fall 2016",El Capitan
144,Golden Gate Bridge,"Telegraph Hill, San Fransisco, CA; Fall 2016",Golden Gate Bridge
145,Quad Formal,"House of Blues, Boston, MA; Winter 2016",Quad Formal
146,Joey and Tess,"Radcliffe Quadrangle; Winter 2016",Joey and Tess
147,Joey and Tess,"Radcliffe Quadrangle; Winter 2016",Joey and Tess
148,Matthew Young,"Pforzheimer House; Winter 2016-17",Matthew Young
149,Matthew Young,"Pforzheimer House; Winter 2016-17",Matthew Young
150,Nesting Gulls,"Látrabjarg; Summer 2017",Nesting Gulls
151,Standing Puffin,"Látrabjarg; Summer 2017",Standing Puffin
152,Puffin,"Látrabjarg; Summer 2017",Puffin
153,Inside Gljúfrabúi,"Gljúfrabúi; Summer 2017",Gljúfrabúi
154,View from Skógafoss,"Skógafoss; Summer 2017",View from Skógafoss
155,View from Skógafoss,"Skógafoss; Summer 2017",View from Skógafoss
156,James on the Fimmvörðuháls trail,"Fimmvörðuháls trail; Summer 2017",James on the Fimmvörðuháls trail
